Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,balanced_accuracy_score,Time Taken
LabelPropagation,0.8421052631578947,0.7708333333333333,,0.8508367693427116,0.7708333333333333,0.02355170249938965
LabelSpreading,0.8421052631578947,0.7708333333333333,,0.8508367693427116,0.7708333333333333,0.0225069522857666
NearestCentroid,0.8421052631578947,0.7708333333333333,,0.8508367693427116,0.7708333333333333,0.02034449577331543
ExtraTreesClassifier,0.9210526315789473,0.75,,0.9096622152395916,0.75,0.23701119422912598
BaggingClassifier,0.9210526315789473,0.75,,0.9096622152395916,0.75,0.06833267211914062
RandomForestClassifier,0.9210526315789473,0.75,,0.9096622152395916,0.75,0.3506617546081543
GaussianNB,0.9210526315789473,0.75,,0.9096622152395916,0.75,0.029128551483154297
DecisionTreeClassifier,0.8947368421052632,0.734375,,0.885805422647528,0.734375,0.04401445388793945
QuadraticDiscriminantAnalysis,0.8947368421052632,0.734375,,0.885805422647528,0.734375,0.02852773666381836
BernoulliNB,0.8947368421052632,0.6666666666666666,,0.871517027863777,0.6666666666666666,0.023514986038208008
KNeighborsClassifier,0.8947368421052632,0.6666666666666666,,0.871517027863777,0.6666666666666666,0.02276897430419922
SGDClassifier,0.8157894736842105,0.6197916666666666,,0.8088332719911668,0.6197916666666666,0.021553993225097656
Perceptron,0.8157894736842105,0.6197916666666666,,0.8088332719911668,0.6197916666666666,0.020207881927490234
ExtraTreeClassifier,0.7894736842105263,0.6041666666666666,,0.7894736842105263,0.6041666666666666,0.04582381248474121
RidgeClassifier,0.868421052631579,0.5833333333333334,,0.826195924594094,0.5833333333333334,0.03361368179321289
AdaBoostClassifier,0.868421052631579,0.5833333333333334,,0.826195924594094,0.5833333333333334,0.2108135223388672
LogisticRegression,0.868421052631579,0.5833333333333334,,0.826195924594094,0.5833333333333334,0.02639603614807129
SVC,0.868421052631579,0.5833333333333334,,0.826195924594094,0.5833333333333334,0.023143529891967773
RidgeClassifierCV,0.868421052631579,0.5833333333333334,,0.826195924594094,0.5833333333333334,0.034449100494384766
LinearSVC,0.868421052631579,0.5833333333333334,,0.826195924594094,0.5833333333333334,0.021521568298339844
LinearDiscriminantAnalysis,0.868421052631579,0.5833333333333334,,0.826195924594094,0.5833333333333334,0.0311892032623291
PassiveAggressiveClassifier,0.8421052631578947,0.5677083333333334,,0.8072755417956656,0.5677083333333334,0.019866228103637695
CalibratedClassifierCV,0.8421052631578947,0.5,,0.7699248120300751,0.5,0.20261931419372559
DummyClassifier,0.8421052631578947,0.5,,0.7699248120300751,0.5,0.046282291412353516
LGBMClassifier,0.8421052631578947,0.5,,0.7699248120300751,0.5,0.0392611026763916
